"Table 1: Main retail figures, April 2020"
"Seasonally adjusted, percentage change, Great Britain"

,"Most recent month
 on a year earlier","Most recent 3
 months on a
 year earlier","Most recent month
 on previous month","Most recent 3
 months on previous
 3 months"
"Value 
(amount spent)",-23.1,-9.2,-18.7,-9.3
"Volume 
(quantity bought)",-22.6,-9.2,-18.1,-8.6
"Value 
(excluding automotive fuel)",-18.0,-6.7,-15.3,-6.9
"Volume 
(excluding automotive fuel)",-18.4,-7.1,-15.2,-6.7

Source: ,Office for National Statistics - Monthly Business Survey - Retail Sales Inquiry
